year,week,visits
2021,1,121769313
2021,2,129646079
2021,3,129981019
2021,4,132687002
2021,5,128240523
2021,6,123462588
2021,7,121882486
2021,8,128012334
2021,9,134266994
2021,10,137244364
2021,11,133725691
2021,12,132116336
2021,13,123616138
2021,14,132512800
2021,15,131968305
2021,16,132025864
2021,17,129267527
2021,18,123280484
2021,19,125692162
2021,20,121593543
2021,21,116512169
2021,22,110209394
2021,23,113625853
2021,24,110224289
2021,25,110245879
2021,26,105756800
2021,27,105180229
2021,28,111870452
2021,29,114759931
2021,30,126638403
2021,31,126797026
2021,32,128124253
2021,33,126099099
2021,34,133596765
2021,35,123658059
2021,36,124736122
2021,37,128240931
2021,38,126227221
2021,39,127485000
2021,40,126591848
2021,41,125127685
2021,42,132259970
2021,43,129880056
2021,44,131368806
2021,45,133521920
2021,46,132998195
2021,47,117567144
2021,48,135253850
2021,49,128989398
2021,50,127227784
2021,51,111826017
2021,52,124846327
